timestamp_sample,x_position,y_position,pupil_area_normalized,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
13.284,977,646,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.285,977,646,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.286,978,646,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.287,979,646,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.288,979,647,0.684,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.289,979,648,0.684,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.29,978,650,0.684,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.291,978,651,0.684,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.292,978,652,0.683,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.293,979,653,0.683,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.294,979,653,0.683,84,85,0.87622,0.35315,103,273,2544,2434,660,0,3100,2160
13.295,980,653,0.681,84,85,0.87622,0.35315,103,273,2544,2434,660,0,3100,2160
13.296,981,653,0.681,84,85,0.88354,0.35315,103,273,2544,2434,660,0,3100,2160
13.297,981,652,0.68,84,85,0.88354,0.35315,103,273,2544,2434,660,0,3100,2160
13.298,982,652,0.68,84,85,0.88354,0.35315,103,273,2544,2434,660,0,3100,2160
13.299,982,653,0.68,84,85,0.88354,0.35315,103,273,2544,2434,660,0,3100,2160
13.3,982,653,0.679,84,85,0.88354,0.35315,103,273,2544,2434,660,0,3100,2160
13.301,981,653,0.679,84,85,0.88354,0.35315,103,273,2544,2434,660,0,3100,2160
13.302,981,653,0.678,84,85,0.88354,0.35315,103,273,2544,2434,660,0,3100,2160
13.303,980,653,0.678,84,85,0.88354,0.35315,103,273,2544,2434,660,0,3100,2160
